Bin,Order,bino,Pfam,Description,IPR,Function,GO,gene,pi,coverage,length_with_coverage,sample,mean,std,Z-score
bin_28,Acidimicrobiales,bin.28_03063,PF00455,DeoR C terminal sensor domain,IPR014036,DeoR C-terminal sensor domain,-,NODE_30490_length_9067_cov_19.627053_11,0.006007811,35.22572178,762,bin_28,0.004432167,0.003359567,0.469001996
bin_128,Rhizobiales,bin.128_00020,PF02773,"S-adenosylmethionine synthetase, C-terminal domain",IPR022630,"S-adenosylmethionine synthetase, C-terminal",GO:0004478|GO:0006556,NODE_374_length_108237_cov_31.540876_21,0.005995485,71.91308017,1185,bin_128,0.004432167,0.003359567,0.465333071
bin_128,Rhizobiales,bin.128_00020,PF00438,"S-adenosylmethionine synthetase, N-terminal domain",IPR022628,"S-adenosylmethionine synthetase, N-terminal",GO:0004478|GO:0006556,NODE_374_length_108237_cov_31.540876_21,0.005995485,71.91308017,1185,bin_128,0.004432167,0.003359567,0.465333071
bin_128,Rhizobiales,bin.128_00020,PF02772,"S-adenosylmethionine synthetase, central domain",IPR022629,"S-adenosylmethionine synthetase, central domain",GO:0004478|GO:0006556,NODE_374_length_108237_cov_31.540876_21,0.005995485,71.91308017,1185,bin_128,0.004432167,0.003359567,0.465333071
bin_221,Rhizobiales,bin.221_02223,PF00171,Aldehyde dehydrogenase family,IPR015590,Aldehyde dehydrogenase domain,GO:0016491,NODE_6224_length_25312_cov_8.567328_10,0.005992914,25.04820847,1535,bin_221,0.004432167,0.003359567,0.464567793
bin_8,Azospirillales,bin.8_00390,PF02746,"Mandelate racemase / muconate lactonizing enzyme, N-terminal domain",IPR013341,"Mandelate racemase/muconate lactonizing enzyme, N-terminal domain",-,NODE_3789_length_34110_cov_7.162003_22,0.005991151,24.49086379,1204,bin_8,0.004432167,0.003359567,0.464043023
bin_8,Azospirillales,bin.8_00390,PF13378,Enolase C-terminal domain-like,IPR029065,Enolase C-terminal domain-like,-,NODE_3789_length_34110_cov_7.162003_22,0.005991151,24.49086379,1204,bin_8,0.004432167,0.003359567,0.464043023
bin_226,Kiloniellales,bin.226_03766,PF00171,Aldehyde dehydrogenase family,IPR015590,Aldehyde dehydrogenase domain,GO:0016491,NODE_85870_length_4782_cov_13.296171_3,0.005987997,28.256,1500,bin_226,0.004432167,0.003359567,0.463104212
bin_8,Azospirillales,bin.8_01081,PF00355,Rieske [2Fe-2S] domain,IPR017941,Rieske [2Fe-2S] iron-sulphur domain,GO:0051537,NODE_8713_length_20465_cov_6.631455_16,0.00597989,12.95541401,314,bin_8,0.004432167,0.003359567,0.460691103
bin_103,Rhizobiales,bin.103_00819,PF04069,Substrate binding domain of ABC-type glycine betaine transport system,IPR007210,"ABC-type glycine betaine transport system, substrate-binding domain",GO:0022857|GO:0043190|GO:0055085,NODE_28_length_19440_cov_6.528509_20,0.005976464,56.69040554,1011,bin_103,0.004432167,0.003359567,0.459671329
bin_189,Rhizobiales,bin.189_02016,PF00338,Ribosomal protein S10p/S20e,IPR027486,Ribosomal protein S10 domain,-,NODE_154452_length_3377_cov_6.744732_5,0.005976409,23.35220126,318,bin_189,0.004432167,0.003359567,0.459654958
bin_226,Kiloniellales,bin.226_02839,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_15471_length_14147_cov_9.743826_7,0.005958952,19.24503722,1612,bin_226,0.004432167,0.003359567,0.454458753
bin_226,Kiloniellales,bin.226_02839,PF08352,"Oligopeptide/dipeptide transporter, C-terminal region",IPR013563,"Oligopeptide/dipeptide ABC transporter, C-terminal",GO:0000166|GO:0005524|GO:0015833,NODE_15471_length_14147_cov_9.743826_7,0.005958952,19.24503722,1612,bin_226,0.004432167,0.003359567,0.454458753
bin_226,Kiloniellales,bin.226_02839,PF08352,"Oligopeptide/dipeptide transporter, C-terminal region",IPR013563,"Oligopeptide/dipeptide ABC transporter, C-terminal",GO:0000166|GO:0005524|GO:0015833,NODE_15471_length_14147_cov_9.743826_7,0.005958952,19.24503722,1612,bin_226,0.004432167,0.003359567,0.454458753
bin_226,Kiloniellales,bin.226_02839,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_15471_length_14147_cov_9.743826_7,0.005958952,19.24503722,1612,bin_226,0.004432167,0.003359567,0.454458753
bin_73,Euzebyales,bin.73_00822,PF14026,Protein of unknown function (DUF4242),IPR025336,Protein of unknown function DUF4242,-,NODE_82281_length_4907_cov_9.139324_2,0.005956784,12.46875,224,bin_73,0.004432167,0.003359567,0.453813432
bin_62,Pseudomonadales,bin.62_02145,PF06026,Ribose 5-phosphate isomerase A (phosphoriboisomerase A),IPR004788,"Ribose 5-phosphate isomerase, type A",GO:0004751|GO:0009052,NODE_438137_length_1816_cov_3.470187_2,0.005946501,13.80785124,484,bin_62,0.004432167,0.003359567,0.450752621
bin_62,Pseudomonadales,bin.62_02642,PF00293,NUDIX domain,IPR000086,NUDIX hydrolase domain,GO:0016787,k141_41711_length_1028_cov_4.0000_1,0.005933208,10.35772358,492,bin_62,0.004432167,0.003359567,0.446795861
bin_8,Azospirillales,bin.8_00671,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_6136_length_25527_cov_8.363615_21,0.005933003,19.54289072,851,bin_8,0.004432167,0.003359567,0.446734841
bin_107,UBA727,bin.107_00652,PF00106,short chain dehydrogenase,IPR002347,Short-chain dehydrogenase/reductase SDR,GO:0016491,NODE_24721_length_10416_cov_4.970466_9,0.005926106,23.81818182,1001,bin_107,0.004432167,0.003359567,0.444681898
bin_226,Kiloniellales,bin.226_02610,PF02784,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",IPR022644,"Orn/DAP/Arg decarboxylase 2, N-terminal",GO:0003824,NODE_11705_length_16916_cov_10.115533_7,0.005921422,23.88152078,1131,bin_226,0.004432167,0.003359567,0.443287671
bin_226,Kiloniellales,bin.226_02610,PF00278,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain",IPR022643,"Orn/DAP/Arg decarboxylase 2, C-terminal",GO:0003824,NODE_11705_length_16916_cov_10.115533_7,0.005921422,23.88152078,1131,bin_226,0.004432167,0.003359567,0.443287671
bin_132,Acidimicrobiales,bin.132_00130,PF13343,Bacterial extracellular solute-binding protein,-,-,,NODE_138_length_165888_cov_16.927572_128,0.00591628,54.76356589,1032,bin_132,0.004432167,0.003359567,0.441757117
bin_74,Pseudomonadales,bin.74_02798,PF04679,ATP dependent DNA ligase C terminal region,IPR012309,"DNA ligase, ATP-dependent, C-terminal",GO:0003910|GO:0006281|GO:0006310,NODE_8947_length_20093_cov_58.824633_4,0.005902928,92.81794872,1560,bin_74,0.004432167,0.003359567,0.437782795
bin_74,Pseudomonadales,bin.74_02798,PF01068,ATP dependent DNA ligase domain,IPR012310,"DNA ligase, ATP-dependent, central",GO:0003910|GO:0005524|GO:0006281|GO:0006310,NODE_8947_length_20093_cov_58.824633_4,0.005902928,92.81794872,1560,bin_74,0.004432167,0.003359567,0.437782795
bin_74,Pseudomonadales,bin.74_02798,PF04675,DNA ligase N terminus,IPR012308,"DNA ligase, ATP-dependent, N-terminal",GO:0003677|GO:0003910|GO:0006281|GO:0006310,NODE_8947_length_20093_cov_58.824633_4,0.005902928,92.81794872,1560,bin_74,0.004432167,0.003359567,0.437782795
bin_103,Rhizobiales,bin.103_01640,PF00206,Lyase,IPR022761,"Fumarate lyase, N-terminal",-,NODE_88_length_10576_cov_6.485475_1,0.005901165,38.25307303,1383,bin_103,0.004432167,0.003359567,0.437258025
bin_103,Rhizobiales,bin.103_01640,PF14698,Argininosuccinate lyase C-terminal,IPR029419,"Argininosuccinate lyase, C-terminal",-,NODE_88_length_10576_cov_6.485475_1,0.005901165,38.25307303,1383,bin_103,0.004432167,0.003359567,0.437258025
bin_228,Rhodobacterales,bin.228_03121,PF01557,Fumarylacetoacetate (FAA) hydrolase family,IPR011234,"Fumarylacetoacetase-like, C-terminal",GO:0003824,NODE_4935_length_29008_cov_1143.658205_9,0.005889582,1784.695035,846,bin_228,0.004432167,0.003359567,0.433810259
bin_195,Pseudomonadales,bin.195_02479,PF16320,Ribosomal protein L7/L12 dimerisation domain,IPR008932,"Ribosomal protein L7/L12, oligomerisation",GO:0003735|GO:0005840|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF00542,Ribosomal protein L7/L12 C-terminal domain,IPR013823,"Ribosomal protein L7/L12, C-terminal",GO:0003735|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF00542,Ribosomal protein L7/L12 C-terminal domain,IPR013823,"Ribosomal protein L7/L12, C-terminal",GO:0003735|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF16320,Ribosomal protein L7/L12 dimerisation domain,IPR008932,"Ribosomal protein L7/L12, oligomerisation",GO:0003735|GO:0005840|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF00542,Ribosomal protein L7/L12 C-terminal domain,IPR013823,"Ribosomal protein L7/L12, C-terminal",GO:0003735|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF16320,Ribosomal protein L7/L12 dimerisation domain,IPR008932,"Ribosomal protein L7/L12, oligomerisation",GO:0003735|GO:0005840|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF00542,Ribosomal protein L7/L12 C-terminal domain,IPR013823,"Ribosomal protein L7/L12, C-terminal",GO:0003735|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_195,Pseudomonadales,bin.195_02479,PF16320,Ribosomal protein L7/L12 dimerisation domain,IPR008932,"Ribosomal protein L7/L12, oligomerisation",GO:0003735|GO:0005840|GO:0006412,NODE_276_length_4136_cov_4.897019_2,0.005886564,16.53050398,377,bin_195,0.004432167,0.003359567,0.432911929
bin_33,Acidimicrobiales,bin.33_01375,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_18695_length_12492_cov_292.864758_2,0.005878344,594.780695,1295,bin_33,0.004432167,0.003359567,0.430465186
bin_33,Acidimicrobiales,bin.33_01375,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_18695_length_12492_cov_292.864758_2,0.005878344,594.780695,1295,bin_33,0.004432167,0.003359567,0.430465186
bin_33,Acidimicrobiales,bin.33_01375,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_18695_length_12492_cov_292.864758_2,0.005878344,594.780695,1295,bin_33,0.004432167,0.003359567,0.430465186
bin_190,Nitriliruptorales,bin.190_01282,PF00881,Nitroreductase family,IPR029479,Nitroreductase,-,NODE_3242_length_37274_cov_52.292807_23,0.005872711,108.4137427,684,bin_190,0.004432167,0.003359567,0.428788482
bin_221,Rhizobiales,bin.221_03515,PF13247,4Fe-4S dicluster domain,IPR017896,"4Fe-4S ferredoxin-type, iron-sulphur binding domain",-,NODE_24166_length_10567_cov_7.269692_2,0.005841,12.55393053,547,bin_221,0.004432167,0.003359567,0.419349468
bin_49,Thalassobaculales,bin.49_01185,PF00916,Sulfate permease family,IPR011547,SLC26A/SulP transporter domain,GO:0008272|GO:0015116|GO:0016021,NODE_17192_length_13206_cov_6.900084_5,0.005834062,29.33535354,1485,bin_49,0.004432167,0.003359567,0.417284321
bin_49,Thalassobaculales,bin.49_01185,PF01740,STAS domain,IPR002645,STAS domain,-,NODE_17192_length_13206_cov_6.900084_5,0.005834062,29.33535354,1485,bin_49,0.004432167,0.003359567,0.417284321
bin_49,Thalassobaculales,bin.49_01185,PF00916,Sulfate permease family,IPR011547,SLC26A/SulP transporter domain,GO:0008272|GO:0015116|GO:0016021,NODE_17192_length_13206_cov_6.900084_5,0.005834062,29.33535354,1485,bin_49,0.004432167,0.003359567,0.417284321
bin_33,Acidimicrobiales,bin.33_01917,PF05222,"Alanine dehydrogenase/PNT, N-terminal domain",IPR007886,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal",-,NODE_32629_length_8673_cov_288.104897_8,0.00582724,456.2130125,1122,bin_33,0.004432167,0.003359567,0.415253702
bin_33,Acidimicrobiales,bin.33_01917,PF01262,"Alanine dehydrogenase/PNT, C-terminal domain",IPR007698,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain",-,NODE_32629_length_8673_cov_288.104897_8,0.00582724,456.2130125,1122,bin_33,0.004432167,0.003359567,0.415253702
bin_62,Pseudomonadales,bin.62_00291,PF00075,RNase H,IPR002156,Ribonuclease H domain,GO:0003676|GO:0004523,NODE_91976_length_4593_cov_3.783385_4,0.00582144,15.77880184,434,bin_62,0.004432167,0.003359567,0.413527289
bin_189,Rhizobiales,bin.189_02424,PF02777,"Iron/manganese superoxide dismutases, C-terminal domain",IPR019832,"Manganese/iron superoxide dismutase, C-terminal",GO:0004784|GO:0006801|GO:0046872,NODE_247252_length_2552_cov_4.564678_1,0.005798127,14.33164983,594,bin_189,0.004432167,0.003359567,0.406588002
bin_189,Rhizobiales,bin.189_02424,PF00081,"Iron/manganese superoxide dismutases, alpha-hairpin domain",IPR019831,"Manganese/iron superoxide dismutase, N-terminal",GO:0004784|GO:0006801|GO:0046872,NODE_247252_length_2552_cov_4.564678_1,0.005798127,14.33164983,594,bin_189,0.004432167,0.003359567,0.406588002
bin_62,Pseudomonadales,bin.62_01772,PF01149,Formamidopyrimidine-DNA glycosylase N-terminal domain,IPR012319,"Formamidopyrimidine-DNA glycosylase, catalytic domain",GO:0003906|GO:0006284|GO:0008270|GO:0019104,NODE_345545_length_2093_cov_4.101079_2,0.005782633,14.53140704,796,bin_62,0.004432167,0.003359567,0.401976099
bin_62,Pseudomonadales,bin.62_01772,PF06827,Zinc finger found in FPG and IleRS,IPR010663,"Zinc finger, FPG/IleRS-type",-,NODE_345545_length_2093_cov_4.101079_2,0.005782633,14.53140704,796,bin_62,0.004432167,0.003359567,0.401976099
bin_62,Pseudomonadales,bin.62_01772,PF06831,Formamidopyrimidine-DNA glycosylase H2TH domain,IPR015886,"DNA glycosylase/AP lyase, H2TH DNA-binding",GO:0003684|GO:0003906|GO:0006284|GO:0008270|GO:0016799,NODE_345545_length_2093_cov_4.101079_2,0.005782633,14.53140704,796,bin_62,0.004432167,0.003359567,0.401976099
bin_93,AC-67,bin.93_02136,PF08534,Redoxin,IPR013740,Redoxin,GO:0016491,NODE_4638_length_30177_cov_8.009561_24,0.005779499,26.55958549,579,bin_93,0.004432167,0.003359567,0.40104324
bin_226,Kiloniellales,bin.226_00704,PF00496,"Bacterial extracellular solute-binding proteins, family 5 Middle",IPR000914,Solute-binding protein family 5 domain,-,NODE_2537_length_43089_cov_10.340916_32,0.005779312,25.92351816,1569,bin_226,0.004432167,0.003359567,0.400987578
bin_73,Euzebyales,bin.73_01726,PF13649,Methyltransferase domain,IPR041698,Methyltransferase domain 25,-,NODE_361320_length_2038_cov_7.312153_2,0.005776385,17.42476489,638,bin_73,0.004432167,0.003359567,0.400116335
bin_190,Nitriliruptorales,bin.190_02287,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_10862_length_17754_cov_48.901689_16,0.005772592,126.2124444,1125,bin_190,0.004432167,0.003359567,0.398987321
bin_190,Nitriliruptorales,bin.190_02287,PF01699,Sodium/calcium exchanger protein,IPR004837,Sodium/calcium exchanger membrane region,GO:0016021|GO:0055085,NODE_10862_length_17754_cov_48.901689_16,0.005772592,126.2124444,1125,bin_190,0.004432167,0.003359567,0.398987321
bin_228,Rhodobacterales,bin.228_02806,PF00528,Binding-protein-dependent transport system inner membrane component,IPR000515,"ABC transporter type 1, transmembrane domain MetI-like",GO:0016020|GO:0055085,NODE_2192_length_46238_cov_807.624082_17,0.005761959,1008.206845,672,bin_228,0.004432167,0.003359567,0.39582233
bin_94,Rhizobiales,bin.94_03455,PF00436,Single-strand binding protein family,IPR000424,Primosome PriB/single-strand DNA-binding,GO:0003697,NODE_193_length_5403_cov_4.357116_6,0.005754047,20.58937198,414,bin_94,0.004432167,0.003359567,0.393467264
bin_158,Rhizobiales,bin.158_00976,PF07100,Anabaena sensory rhodopsin transducer,IPR009794,Protein of unknown function DUF1362,-,NODE_675_length_81719_cov_52.870604_30,0.005737073,93.6344086,372,bin_158,0.004432167,0.003359567,0.388414828
bin_99,Rhodothermales,bin.99_00211,PF03741,Integral membrane protein TerC family,IPR005496,Integral membrane protein TerC,GO:0016021,NODE_21063_length_11545_cov_5.247520_2,0.005736878,16.1489776,1027,bin_99,0.004432167,0.003359567,0.388356785
bin_189,Rhizobiales,bin.189_01876,PF07690,Major Facilitator Superfamily,IPR011701,Major facilitator superfamily,GO:0022857|GO:0055085,NODE_136962_length_3630_cov_4.602517_2,0.005731389,15.31711555,1151,bin_189,0.004432167,0.003359567,0.386722943
bin_62,Pseudomonadales,bin.62_00807,PF13484,4Fe-4S double cluster binding domain,-,-,,NODE_162790_length_3274_cov_3.950295_3,0.005729076,13.30895091,1039,bin_62,0.004432167,0.003359567,0.386034462
bin_62,Pseudomonadales,bin.62_00807,PF08331,Domain of unknown function (DUF1730),IPR013542,Domain of unknown function DUF1730,-,NODE_162790_length_3274_cov_3.950295_3,0.005729076,13.30895091,1039,bin_62,0.004432167,0.003359567,0.386034462
bin_226,Kiloniellales,bin.226_03101,PF01638,HxlR-like helix-turn-helix,IPR002577,"Helix-turn-helix, HxlR type",-,NODE_21248_length_11488_cov_9.947083_2,0.005727813,26.11210762,669,bin_226,0.004432167,0.003359567,0.38565852
bin_131,Pseudomonadales,bin.131_01500,PF00528,Binding-protein-dependent transport system inner membrane component,IPR000515,"ABC transporter type 1, transmembrane domain MetI-like",GO:0016020|GO:0055085,NODE_10409_length_18232_cov_56.584805_6,0.00572284,123.640678,885,bin_131,0.004432167,0.003359567,0.38417827
bin_184,Nevskiales,bin.184_01770,PF17755,UvrA DNA-binding domain,IPR041552,UvrA DNA-binding domain,-,NODE_24919_length_10359_cov_241.763296_7,0.005708583,400.9919128,2844,bin_184,0.004432167,0.003359567,0.379934569
bin_184,Nevskiales,bin.184_01770,PF17760,UvrA interaction domain,IPR041102,"UvrA, interaction domain",-,NODE_24919_length_10359_cov_241.763296_7,0.005708583,400.9919128,2844,bin_184,0.004432167,0.003359567,0.379934569
bin_49,Thalassobaculales,bin.49_03710,PF02028,"BCCT, betaine/carnitine/choline family transporter",IPR000060,BCCT transporter family,GO:0016020|GO:0022857|GO:0071705,NODE_93284_length_4555_cov_5.830222_5,0.00570642,19.50611247,1636,bin_49,0.004432167,0.003359567,0.379290736
bin_42,Sphingomonadales,bin.42_01741,PF03060,Nitronate monooxygenase,IPR004136,Nitronate monooxygenase,GO:0018580,NODE_28081_length_9559_cov_16.192656_12,0.005701874,26.34226804,970,bin_42,0.004432167,0.003359567,0.377937585
bin_58,Nitriliruptorales,bin.58_02521,PF12769,"4TM region of pyridine nucleotide transhydrogenase, mitoch",IPR024605,"NAD(P) transhydrogenase, alpha subunit, C-terminal",-,NODE_9314_length_19526_cov_84.066355_8,0.00569428,275.8459016,305,bin_58,0.004432167,0.003359567,0.375677175
bin_39,Mycobacteriales,bin.39_02846,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_4860_length_29271_cov_26.552266_3,0.005685072,63.09794629,1266,bin_39,0.004432167,0.003359567,0.372936346
bin_39,Mycobacteriales,bin.39_02846,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_4860_length_29271_cov_26.552266_3,0.005685072,63.09794629,1266,bin_39,0.004432167,0.003359567,0.372936346
bin_39,Mycobacteriales,bin.39_02846,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_4860_length_29271_cov_26.552266_3,0.005685072,63.09794629,1266,bin_39,0.004432167,0.003359567,0.372936346
bin_128,Rhizobiales,bin.128_00507,PF01266,FAD dependent oxidoreductase,IPR006076,FAD dependent oxidoreductase,GO:0016491,NODE_1684_length_52964_cov_30.732673_47,0.005684946,65.28377298,1251,bin_128,0.004432167,0.003359567,0.372898841
bin_214,Caulobacterales,bin.214_00982,PF07728,AAA domain (dynein-related subfamily),IPR011704,"ATPase, dynein-related, AAA domain",GO:0005524|GO:0016887,NODE_694_length_80418_cov_13.101290_57,0.005677337,21.12601626,984,bin_214,0.004432167,0.003359567,0.370633966
bin_214,Caulobacterales,bin.214_00982,PF12556,Cobaltochelatase CobS subunit N terminal,IPR025865,Cobaltochelatase subunit CobS N-terminal domain,-,NODE_694_length_80418_cov_13.101290_57,0.005677337,21.12601626,984,bin_214,0.004432167,0.003359567,0.370633966
bin_226,Kiloniellales,bin.226_01347,PF01259,SAICAR synthetase,IPR028923,"SAICAR synthetase/ADE2, N-terminal",-,NODE_4265_length_31805_cov_9.166614_30,0.005664349,27.53268765,826,bin_226,0.004432167,0.003359567,0.366767991
bin_226,Kiloniellales,bin.226_01675,PF02653,Branched-chain amino acid transport system / permease component,IPR001851,"ABC transporter, permease",GO:0016021|GO:0022857|GO:0055085,NODE_4892_length_29157_cov_9.600990_31,0.0056585,22.3072747,921,bin_226,0.004432167,0.003359567,0.365026993
bin_28,Acidimicrobiales,bin.28_02474,PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",IPR009075,Acyl-CoA dehydrogenase/oxidase C-terminal,GO:0016627,NODE_17501_length_13054_cov_13.525656_10,0.005656905,39.56598985,1182,bin_28,0.004432167,0.003359567,0.36455223
bin_28,Acidimicrobiales,bin.28_02474,PF02770,"Acyl-CoA dehydrogenase, middle domain",IPR006091,"Acyl-CoA oxidase/dehydrogenase, central domain",GO:0016627,NODE_17501_length_13054_cov_13.525656_10,0.005656905,39.56598985,1182,bin_28,0.004432167,0.003359567,0.36455223
bin_28,Acidimicrobiales,bin.28_02474,PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",GO:0016627|GO:0050660,NODE_17501_length_13054_cov_13.525656_10,0.005656905,39.56598985,1182,bin_28,0.004432167,0.003359567,0.36455223
bin_189,Rhizobiales,bin.189_02346,PF00005,ABC transporter,IPR003439,ABC transporter-like,GO:0005524,NODE_220939_length_2730_cov_3.903551_2,0.005653689,14.29094679,1447,bin_189,0.004432167,0.003359567,0.363594964
bin_189,Rhizobiales,bin.189_02346,PF16326,ABC transporter C-terminal domain,IPR032524,"ABC transporter Uup, C-terminal",GO:0003677,NODE_220939_length_2730_cov_3.903551_2,0.005653689,14.29094679,1447,bin_189,0.004432167,0.003359567,0.363594964
bin_19,J058,bin.19_05973,PF12769,"4TM region of pyridine nucleotide transhydrogenase, mitoch",IPR024605,"NAD(P) transhydrogenase, alpha subunit, C-terminal",-,NODE_41869_length_7404_cov_8.939720_4,0.005643031,34.55555556,306,bin_19,0.004432167,0.003359567,0.360422531
bin_132,Acidimicrobiales,bin.132_01375,PF11338,Protein of unknown function (DUF3140),IPR021487,Protein of unknown function DUF3140,-,NODE_2114_length_47156_cov_16.351521_6,0.005641992,63.26126126,333,bin_132,0.004432167,0.003359567,0.360113265
bin_214,Caulobacterales,bin.214_01699,PF01058,"NADH ubiquinone oxidoreductase, 20 Kd subunit",IPR006137,"NADH:ubiquinone oxidoreductase-like, 20kDa subunit",GO:0051536,NODE_2088_length_47558_cov_14.452750_27,0.005639423,33.42280702,570,bin_214,0.004432167,0.003359567,0.359348583
bin_226,Kiloniellales,bin.226_01739,PF02417,Chromate transporter,IPR003370,Chromate transporter,GO:0015109|GO:0015703,NODE_5245_length_27907_cov_11.262495_11,0.00563703,40.48633094,1390,bin_226,0.004432167,0.003359567,0.358636289
bin_226,Kiloniellales,bin.226_01739,PF02417,Chromate transporter,IPR003370,Chromate transporter,GO:0015109|GO:0015703,NODE_5245_length_27907_cov_11.262495_11,0.00563703,40.48633094,1390,bin_226,0.004432167,0.003359567,0.358636289
bin_49,Thalassobaculales,bin.49_01170,PF04069,Substrate binding domain of ABC-type glycine betaine transport system,IPR007210,"ABC-type glycine betaine transport system, substrate-binding domain",GO:0022857|GO:0043190|GO:0055085,NODE_16397_length_13609_cov_7.263538_3,0.005636871,23.25626204,1038,bin_49,0.004432167,0.003359567,0.358588961
bin_33,Acidimicrobiales,bin.33_00514,PF02738,Molybdopterin-binding domain of aldehyde dehydrogenase,IPR008274,"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding",GO:0016491,NODE_6974_length_23546_cov_281.373420_17,0.005635201,519.8215629,2393,bin_33,0.004432167,0.003359567,0.358091874
bin_33,Acidimicrobiales,bin.33_00514,PF01315,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain",IPR000674,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead",-,NODE_6974_length_23546_cov_281.373420_17,0.005635201,519.8215629,2393,bin_33,0.004432167,0.003359567,0.358091874
bin_62,Pseudomonadales,bin.62_02069,PF13793,N-terminal domain of ribose phosphate pyrophosphokinase,IPR029099,"Ribose-phosphate pyrophosphokinase, N-terminal domain",-,NODE_421417_length_1859_cov_3.419069_2,0.005621419,10.71878515,889,bin_62,0.004432167,0.003359567,0.353989559
bin_62,Pseudomonadales,bin.62_02069,PF14572,Phosphoribosyl synthetase-associated domain,IPR005946,Ribose-phosphate pyrophosphokinase,GO:0000287|GO:0004749|GO:0009165,NODE_421417_length_1859_cov_3.419069_2,0.005621419,10.71878515,889,bin_62,0.004432167,0.003359567,0.353989559
bin_17,Deinococcales,bin.17_00376,PF00549,CoA-ligase,IPR005811,ATP-citrate lyase/succinyl-CoA ligase,GO:0003824,NODE_3111_length_38180_cov_26.061010_14,0.005620698,58.44812834,935,bin_17,0.004432167,0.003359567,0.353774948
bin_17,Deinococcales,bin.17_00376,PF02629,CoA binding domain,IPR003781,CoA-binding,-,NODE_3111_length_38180_cov_26.061010_14,0.005620698,58.44812834,935,bin_17,0.004432167,0.003359567,0.353774948
bin_60,Sphingomonadales,bin.60_01350,PF03626,Prokaryotic Cytochrome C oxidase subunit IV,IPR005171,"Cytochrome C oxidase subunit IV, prokaryotes",GO:0016021,NODE_19636_length_12089_cov_9.422470_6,0.005597235,22.05913978,372,bin_60,0.004432167,0.003359567,0.346791013
bin_99,Rhodothermales,bin.99_00618,PF00885,"6,7-dimethyl-8-ribityllumazine synthase",IPR002180,Lumazine/riboflavin synthase,GO:0009231|GO:0009349,NODE_52894_length_6396_cov_4.611575_2,0.005595121,19.69677419,465,bin_99,0.004432167,0.003359567,0.346161765
bin_103,Rhizobiales,bin.103_01775,PF08003,Protein of unknown function (DUF1698),IPR027555,tRNA (Mo5U34)-methyltransferase-like,-,NODE_100_length_9632_cov_11.267923_6,0.005563168,65.14974619,788,bin_103,0.004432167,0.003359567,0.336650718
